Ticket,Símbolo  ,Tipo,Hora de abertura,Preço de abertura,Tamanho,Hora de fechamento,Preço de fechamento,Tempo na operação,Lucro/Prejuízo (Global),Saldo (Global),Comissão/Swap,Lucro/Prejuízo ($),Saldo ($),MAE (Global),MFE (Global),Magic number (Global),Strategy name (Global),Símbolo   (Global),Comentário  ,Lucro/Prejuízo (Pips),Saldo (Pips),Lucro/Prejuízo (%),Saldo (%),Tipo de amostra  ,Comissão/Swap (Global),Rebaixamento   (Global),% Rebaixamento (Global),Tamanho (Global)
348,XAUUSD+,Buy,14.11.2022 19:23:40,1771.5,0.1,15.11.2022 02:57:40,1767.35,7h 34m,-51.21,416.09,-9.71,-51.21,416.09,0,0,,Break G 1.5.158,XAUUSD+,sl 1767.35,-41500,696500,-0.49,4.36,IS,-9.71,-269.43999999999505,-2.5215408126690497,0.1
350,XAUUSD+,Buy,15.11.2022 07:19:40,1773.48,0.1,15.11.2022 08:00:40,1770.49,41m 0s,-30.4,385.69,-0.5,-30.4,385.69,0,0,,Break G 1.5.158,XAUUSD+,sl 1770.49,-29900,666600,-0.29,4.07,IS,-0.5,-299.8399999999947,-2.8060376977089088,0.1
352,XAUUSD+,Buy,16.11.2022 11:40:40,1782.86,0.1,16.11.2022 14:52:40,1779.09,3h 12m,-38.2,347.49,-0.5,-38.2,347.49,0,0,,Break G 1.5.158,XAUUSD+,sl 1779.09,-37700,628900,-0.37,3.7,IS,-0.5,-338.0399999999954,-3.1635304940419005,0.1
354,XAUUSD+,Buy,21.12.2022 17:36:40,1821.93,0.1,21.12.2022 17:52:40,1819,16m 0s,-29.8,317.69,-0.5,-29.8,317.69,0,0,,Break G 1.5.158,XAUUSD+,sl 1819.00,-29300,599600,-0.29,3.42,IS,-0.5,-367.8399999999947,-3.442412308982285,0.1
356,XAUUSD+,Buy,27.12.2022 17:32:20,1821.93,0.1,27.12.2022 17:35:40,1829.78,3m 20s,78,395.69,-0.5,78,395.69,0,0,,Break G 1.5.158,XAUUSD+,tp 1829.78,78500,678100,0.76,4.17,IS,-0.5,-289.8399999999947,-2.7124531960510594,0.1
358,XAUUSD+,Buy,30.12.2022 20:03:40,1824.6,0.1,30.12.2022 20:21:40,1821.27,18m 0s,-33.8,361.89,-0.5,-33.8,361.89,0,0,,Break G 1.5.158,XAUUSD+,sl 1821.27,-33300,644800,-0.33,3.85,IS,-0.5,-323.63999999999396,-3.028768811654584,0.1
360,XAUUSD+,Buy,30.12.2022 23:38:40,1824.6,0.1,03.01.2023 02:15:40,1832.15,3d 2h 37m,65.79,427.68,-9.71,65.79,427.68,0,0,,Break G 1.5.158,XAUUSD+,tp 1832.15,75500,720300,0.63,4.48,IS,-9.71,-257.8499999999931,-2.413076375247584,0.1
362,XAUUSD+,Buy,03.01.2023 04:32:40,1831.32,0.1,03.01.2023 04:50:40,1839.34,18m 0s,79.7,507.38,-0.5,79.7,507.38,0,0,,Break G 1.5.158,XAUUSD+,tp 1839.34,80200,800500,0.76,5.25,IS,-0.5,-178.14999999999236,-1.6672078970345168,0.1
364,XAUUSD+,Buy,04.01.2023 08:13:40,1847.52,0.1,04.01.2023 09:36:40,1856.69,1h 23m,91.2,598.58,-0.5,91.2,598.58,0,0,,Break G 1.5.158,XAUUSD+,tp 1856.69,91700,892200,0.87,6.11,IS,-0.5,-86.94999999999163,-0.8137172419149229,0.1
366,XAUUSD+,Buy,06.01.2023 18:06:40,1863.86,0.1,09.01.2023 04:16:40,1876.7,2d 10h 10m,118.69,717.27,-9.71,118.69,717.27,0,0,,Break G 1.5.158,XAUUSD+,tp 1876.70,128400,1020600,1.12,7.23,IS,-9.71,-0.0,-0.0,0.1
368,XAUUSD+,Buy,09.01.2023 16:03:20,1879.13,0.1,09.01.2023 16:19:40,1875.65,16m 20s,-35.3,681.97,-0.5,-35.3,681.97,0,0,,Break G 1.5.158,XAUUSD+,sl 1875.65,-34800,985800,-0.33,6.9,IS,-0.5,-35.29999999999927,-0.3293749247709468,0.1
370,XAUUSD+,Buy,09.01.2023 16:46:40,1879.13,0.1,09.01.2023 17:15:40,1875.6,29m 0s,-35.8,646.17,-0.5,-35.8,646.17,0,0,,Break G 1.5.158,XAUUSD+,sl 1875.60,-35300,950500,-0.34,6.57,IS,-0.5,-71.09999999999854,-0.6634152167482811,0.1
372,XAUUSD+,Buy,10.01.2023 16:30:40,1879.13,0.1,10.01.2023 16:41:40,1875.91,11m 0s,-32.7,613.47,-0.5,-32.7,613.47,0,0,,Break G 1.5.158,XAUUSD+,sl 1875.91,-32200,918300,-0.31,6.26,IS,-0.5,-103.79999999999927,-0.9685302320460267,0.1
374,XAUUSD+,Buy,10.01.2023 17:01:40,1879.13,0.1,10.01.2023 17:44:40,1875.79,43m 0s,-33.9,579.57,-0.5,-33.9,579.57,0,0,,Break G 1.5.158,XAUUSD+,sl 1875.79,-33400,884900,-0.32,5.94,IS,-0.5,-137.6999999999989,-1.284842128639092,0.1
376,XAUUSD+,Buy,11.01.2023 07:11:40,1879.13,0.1,11.01.2023 10:49:40,1885.27,3h 38m,60.9,640.47,-0.5,60.9,640.47,0,0,,Break G 1.5.158,XAUUSD+,tp 1885.27,61400,946300,0.58,6.52,IS,-0.5,-76.79999999999927,-0.7166004029011047,0.1
378,XAUUSD+,Buy,11.01.2023 12:03:40,1885.69,0.1,11.01.2023 12:40:40,1882.74,37m 0s,-30,610.47,-0.5,-30,610.47,0,0,,Break G 1.5.158,XAUUSD+,sl 1882.74,-29500,916800,-0.28,6.24,IS,-0.5,-106.79999999999927,-0.9965224352843515,0.1
380,XAUUSD+,Buy,11.01.2023 13:24:40,1885.69,0.1,11.01.2023 14:01:40,1882.74,37m 0s,-30,580.47,-0.5,-30,580.47,0,0,,Break G 1.5.158,XAUUSD+,sl 1882.74,-29500,887300,-0.28,5.95,IS,-0.5,-136.79999999999927,-1.2764444676675981,0.1
382,XAUUSD+,Buy,12.01.2023 13:14:40,1885.69,0.1,12.01.2023 15:30:40,1883.22,2h 16m,-25.2,555.27,-0.5,-25.2,555.27,0,0,,Break G 1.5.158,XAUUSD+,sl 1883.22,-24700,862600,-0.24,5.71,IS,-0.5,-162.0,-1.511578974869532,0.1
384,XAUUSD+,Buy,12.01.2023 21:06:40,1899.48,0.1,12.01.2023 22:10:20,1894.32,1h 3m,-52.1,503.17,-0.5,-52.1,503.17,0,0,,Break G 1.5.158,XAUUSD+,sl 1894.32,-51600,811000,-0.49,5.22,IS,-0.5,-214.10000000000036,-1.9977102377751073,0.1
386,XAUUSD+,Buy,12.01.2023 23:08:40,1899.48,0.1,13.01.2023 07:27:40,1894.63,8h 19m,-58.21,444.96,-9.71,-58.21,444.96,0,0,,Break G 1.5.158,XAUUSD+,sl 1894.63,-48500,762500,-0.55,4.67,IS,-9.71,-272.3099999999995,-2.5408522879427253,0.1
388,XAUUSD+,Buy,13.01.2023 10:00:20,1899.69,0.1,13.01.2023 10:43:40,1907.66,43m 20s,79.2,524.16,-0.5,79.2,524.16,0,0,,Break G 1.5.158,XAUUSD+,tp 1907.66,79700,842200,0.76,5.43,IS,-0.5,-193.10999999999876,-1.8018581224509473,0.1
390,XAUUSD+,Buy,13.01.2023 13:05:40,1906.46,0.1,13.01.2023 13:34:40,1902.87,29m 0s,-36.4,487.76,-0.5,-36.4,487.76,0,0,,Break G 1.5.158,XAUUSD+,sl 1902.87,-35900,806300,-0.35,5.08,IS,-0.5,-229.5099999999984,-2.14149685507595,0.1
392,XAUUSD+,Buy,19.01.2023 21:26:40,1928.24,0.1,20.01.2023 05:18:40,1928.46,7h 52m,-7.51,480.25,-9.71,-7.51,480.25,0,0,,Break G 1.5.158,XAUUSD+,sl 1928.46,2200,808500,-0.07,5.01,IS,-9.71,-237.01999999999862,-2.2115706705158913,0.1
394,XAUUSD+,Buy,20.01.2023 10:08:40,1934.48,0.1,20.01.2023 10:35:40,1931.12,27m 0s,-34.1,446.15,-0.5,-34.1,446.15,0,0,,Break G 1.5.158,XAUUSD+,sl 1931.12,-33600,774900,-0.33,4.68,IS,-0.5,-271.119999999999,-2.5297487139915185,0.1
396,XAUUSD+,Buy,23.01.2023 04:13:40,1934.48,0.1,23.01.2023 05:34:40,1931.33,1h 21m,-32,414.15,-0.5,-32,414.15,0,0,,Break G 1.5.158,XAUUSD+,sl 1931.33,-31500,743400,-0.31,4.38,IS,-0.5,-303.119999999999,-2.828332215200315,0.1
398,XAUUSD+,Buy,24.01.2023 03:39:40,1934.48,0.1,24.01.2023 10:01:40,1942.25,6h 22m,77.2,491.35,-0.5,77.2,491.35,0,0,,Break G 1.5.158,XAUUSD+,tp 1942.25,77700,821100,0.74,5.12,IS,-0.5,-225.91999999999825,-2.1079995185340867,0.1
400,XAUUSD+,Buy,25.01.2023 19:51:20,1940.39,0.1,26.01.2023 09:11:40,1942.17,13h 20m,-10.34,481.01,-28.14,-10.34,481.01,0,0,,Break G 1.5.158,XAUUSD+,sl 1942.17,17800,838900,-0.1,5.02,IS,-28.14,-236.2599999999984,-2.2044793123621806,0.1
402,XAUUSD+,Buy,01.02.2023 22:33:40,1948.34,0.1,02.02.2023 12:59:20,1951.77,14h 25m,6.16,487.17,-28.14,6.16,487.17,0,0,,Break G 1.5.158,XAUUSD+,sl 1951.77,34300,873200,0.06,5.08,IS,-28.14,-230.09999999999854,-2.1470019883794884,0.1
404,XAUUSD+,Buy,03.03.2023 11:06:40,1846.44,0.1,03.03.2023 16:22:40,1844.01,5h 16m,-24.8,462.37,-0.5,-24.8,462.37,0,0,,Break G 1.5.158,XAUUSD+,sl 1844.01,-24300,848900,-0.24,4.84,IS,-0.5,-254.89999999999782,-2.378404201816299,0.1
406,XAUUSD+,Buy,03.03.2023 20:09:40,1848.41,0.1,03.03.2023 22:12:40,1855.47,2h 3m,70.1,532.47,-0.5,70.1,532.47,0,0,,Break G 1.5.158,XAUUSD+,tp 1855.47,70600,919500,0.67,5.51,IS,-0.5,-184.79999999999745,-1.7243197194807758,0.1
408,XAUUSD+,Buy,06.03.2023 06:13:40,1856.28,0.1,06.03.2023 07:57:40,1853.56,1h 44m,-27.7,504.77,-0.5,-27.7,504.77,0,0,,Break G 1.5.158,XAUUSD+,sl 1853.56,-27200,892300,-0.26,5.25,IS,-0.5,-212.49999999999818,-1.9827810627146472,0.1
410,XAUUSD+,Buy,06.03.2023 09:30:40,1856.28,0.1,06.03.2023 10:30:40,1853.76,1h 0m,-25.7,479.07,-0.5,-25.7,479.07,0,0,,Break G 1.5.158,XAUUSD+,sl 1853.76,-25200,867100,-0.24,5,IS,-0.5,-238.1999999999989,-2.2225809371229683,0.1
412,XAUUSD+,Buy,10.03.2023 18:01:40,1863.95,0.1,10.03.2023 18:14:40,1859.37,13m 0s,-46.3,432.77,-0.5,-46.3,432.77,0,0,,Break G 1.5.158,XAUUSD+,sl 1859.37,-45800,821300,-0.44,4.56,IS,-0.5,-284.4999999999982,-2.654593940434439,0.1
414,XAUUSD+,Buy,10.03.2023 19:40:40,1863.95,0.1,13.03.2023 01:01:00,1875.95,2d 5h 20m,110.29,543.06,-9.71,110.29,543.06,0,0,,Break G 1.5.158,XAUUSD+,tp 1875.95,120000,941300,1.06,5.62,IS,-9.71,-174.2099999999973,-1.6255072420494885,0.1
416,XAUUSD+,Buy,15.03.2023 14:31:40,1913.61,0.1,15.03.2023 15:08:40,1924.55,37m 0s,108.9,651.96,-0.5,108.9,651.96,0,0,,Break G 1.5.158,XAUUSD+,tp 1924.55,109400,1050700,1.03,6.65,IS,-0.5,-65.30999999999767,-0.6093902644983064,0.1
418,XAUUSD+,Buy,15.03.2023 16:07:40,1927.95,0.1,15.03.2023 16:30:40,1922.56,23m 0s,-54.4,597.56,-0.5,-54.4,597.56,0,0,,Break G 1.5.158,XAUUSD+,sl 1922.56,-53900,996800,-0.51,6.14,IS,-0.5,-119.70999999999731,-1.116982216553257,0.1
420,XAUUSD+,Buy,15.03.2023 19:10:40,1927.95,0.1,15.03.2023 20:12:40,1926.61,1h 2m,-13.9,583.66,-0.5,-13.9,583.66,0,0,,Break G 1.5.158,XAUUSD+,sl 1926.61,-13400,983400,-0.13,6.01,IS,-0.5,-133.60999999999694,-1.2466794248908244,0.1
422,XAUUSD+,Buy,17.03.2023 09:56:40,1933.83,0.1,17.03.2023 10:10:40,1930.02,14m 0s,-38.6,545.06,-0.5,-38.6,545.06,0,0,,Break G 1.5.158,XAUUSD+,sl 1930.02,-38100,945300,-0.36,5.65,IS,-0.5,-172.2099999999973,-1.6068457732239385,0.1
424,XAUUSD+,Buy,17.03.2023 14:19:40,1933.83,0.1,17.03.2023 15:30:40,1942.63,1h 11m,87.5,632.56,-0.5,87.5,632.56,0,0,,Break G 1.5.158,XAUUSD+,tp 1942.63,88000,1033300,0.83,6.48,IS,-0.5,-84.70999999999731,-0.7904065121061358,0.1
426,XAUUSD+,Buy,17.03.2023 18:31:40,1962.19,0.1,17.03.2023 19:04:40,1957.02,33m 0s,-52.2,580.36,-0.5,-52.2,580.36,0,0,,Break G 1.5.158,XAUUSD+,sl 1957.02,-51700,981600,-0.49,5.98,IS,-0.5,-136.90999999999804,-1.2774708484529917,0.1
428,XAUUSD+,Buy,17.03.2023 19:54:20,1962.19,0.1,17.03.2023 20:55:20,1974.51,1h 1m,122.7,703.06,-0.5,122.7,703.06,0,0,,Break G 1.5.158,XAUUSD+,tp 1974.51,123200,1104800,1.16,7.14,IS,-0.5,-14.209999999997308,-0.13258973600550605,0.1
430,XAUUSD+,Buy,17.03.2023 21:00:40,1972.89,0.1,17.03.2023 21:51:40,1986.11,51m 0s,131.7,834.76,-0.5,131.7,834.76,0,0,,Break G 1.5.158,XAUUSD+,tp 1986.11,132200,1237000,1.23,8.37,IS,-0.5,-0.0,-0.0,0.1
432,XAUUSD+,Buy,20.03.2023 09:01:40,1988.9,0.1,20.03.2023 09:16:40,1983.29,15m 0s,-56.6,778.16,-0.5,-56.6,778.16,0,0,,Break G 1.5.158,XAUUSD+,sl 1983.29,-56100,1180900,-0.52,7.85,IS,-0.5,-56.600000000000364,-0.5223927433556471,0.1
434,XAUUSD+,Buy,20.03.2023 09:30:20,1990.06,0.1,20.03.2023 10:25:40,2004.13,55m 20s,140.2,918.36,-0.5,140.2,918.36,0,0,,Break G 1.5.158,XAUUSD+,tp 2004.13,140700,1321600,1.3,9.15,IS,-0.5,-0.0,-0.0,0.1
436,XAUUSD+,Buy,20.03.2023 11:35:40,2006.16,0.1,20.03.2023 11:46:40,1999.33,11m 0s,-68.8,849.56,-0.5,-68.8,849.56,0,0,,Break G 1.5.158,XAUUSD+,sl 1999.33,-68300,1253300,-0.63,8.52,IS,-0.5,-68.79999999999927,-0.6301312651350497,0.1
438,XAUUSD+,Buy,04.04.2023 18:14:40,2021.63,0.1,04.04.2023 18:27:20,2016.33,12m 40s,-53.5,796.06,-0.5,-53.5,796.06,0,0,,Break G 1.5.158,XAUUSD+,sl 2016.33,-53000,1200300,-0.49,8.03,IS,-0.5,-122.29999999999927,-1.1201315948548973,0.1
440,XAUUSD+,Buy,13.04.2023 15:30:40,2031.51,0.1,13.04.2023 15:31:40,2028.28,1m 0s,-32.8,763.26,-0.5,-32.8,763.26,0,0,,Break G 1.5.158,XAUUSD+,sl 2028.28,-32300,1168000,-0.3,7.73,IS,-0.5,-155.09999999999854,-1.4205430119541618,0.1
442,XAUUSD+,Buy,13.04.2023 16:50:00,2045.01,0.1,13.04.2023 17:35:40,2040.77,45m 40s,-42.9,720.36,-0.5,-42.9,720.36,0,0,,Break G 1.5.158,XAUUSD+,sl 2040.77,-42400,1125600,-0.4,7.33,IS,-0.5,-197.99999999999818,-1.8134591641968025,0.1
444,XAUUSD+,Buy,14.04.2023 05:05:40,2046.45,0.1,14.04.2023 06:30:20,2042.93,1h 24m,-35.7,684.66,-0.5,-35.7,684.66,0,0,,Break G 1.5.158,XAUUSD+,sl 2042.93,-35200,1090400,-0.33,6.99,IS,-0.5,-233.6999999999989,-2.140431346832296,0.1
446,XAUUSD+,Buy,02.05.2023 18:15:20,2012.7,0.1,03.05.2023 15:15:40,2012.12,21h 0m,-15.51,669.15,-9.71,-15.51,669.15,0,0,,Break G 1.5.158,XAUUSD+,sl 2012.12,-5800,1084600,-0.15,6.85,IS,-9.71,-249.20999999999913,-2.282485648027716,0.1
448,XAUUSD+,Buy,03.05.2023 16:30:20,2018.74,0.1,03.05.2023 16:50:20,2015.61,20m 0s,-31.8,637.35,-0.5,-31.8,637.35,0,0,,Break G 1.5.158,XAUUSD+,sl 2015.61,-31300,1053300,-0.3,6.55,IS,-0.5,-281.0099999999984,-2.5737381804593196,0.1
450,XAUUSD+,Buy,04.05.2023 17:32:40,2057.82,0.1,04.05.2023 18:05:40,2051.34,33m 0s,-65.3,572.05,-0.5,-65.3,572.05,0,0,,Break G 1.5.158,XAUUSD+,sl 2051.34,-64800,988500,-0.61,5.94,IS,-0.5,-346.3099999999977,-3.1718133492575564,0.1
452,XAUUSD+,Buy,11.07.2023 11:30:40,1936.21,0.1,11.07.2023 15:20:40,1933.35,3h 50m,-29.1,542.95,-0.5,-29.1,542.95,0,0,,Break G 1.5.158,XAUUSD+,sl 1933.35,-28600,959900,-0.28,5.66,IS,-0.5,-375.40999999999804,-3.4383368930864866,0.1
454,XAUUSD+,Buy,12.07.2023 04:37:40,1938.18,0.1,12.07.2023 09:37:40,1935.99,5h 0m,-22.4,520.55,-0.5,-22.4,520.55,0,0,,Break G 1.5.158,XAUUSD+,sl 1935.99,-21900,938000,-0.21,5.45,IS,-0.5,-397.8099999999977,-3.6434959096420827,0.1
456,XAUUSD+,Buy,14.07.2023 04:51:40,1962.79,0.1,14.07.2023 07:59:40,1960.27,3h 8m,-25.7,494.85,-0.5,-25.7,494.85,0,0,,Break G 1.5.158,XAUUSD+,sl 1960.27,-25200,912800,-0.24,5.2,IS,-0.5,-423.5099999999984,-3.8788792456009697,0.1
458,XAUUSD+,Buy,18.07.2023 10:19:40,1962.87,0.1,18.07.2023 14:16:40,1968.54,3h 57m,56.2,551.05,-0.5,56.2,551.05,0,0,,Break G 1.5.158,XAUUSD+,tp 1968.54,56700,969500,0.54,5.74,IS,-0.5,-367.3099999999977,-3.364149927278431,0.1
460,XAUUSD+,Buy,18.07.2023 15:02:40,1965.42,0.1,18.07.2023 15:32:40,1962.53,30m 0s,-29.4,521.65,-0.5,-29.4,521.65,0,0,,Break G 1.5.158,XAUUSD+,sl 1962.53,-28900,940600,-0.28,5.46,IS,-0.5,-396.7099999999973,-3.6334211365076525,0.1
462,XAUUSD+,Buy,20.07.2023 04:30:40,1982.84,0.1,20.07.2023 08:42:40,1981.62,4h 12m,-12.7,508.95,-0.5,-12.7,508.95,0,0,,Break G 1.5.158,XAUUSD+,sl 1981.62,-12200,928400,-0.12,5.34,IS,-0.5,-409.40999999999804,-3.7497389717869503,0.1
464,XAUUSD+,Buy,28.08.2023 18:32:40,1921.96,0.1,28.08.2023 19:57:40,1920.64,1h 25m,-13.7,495.25,-0.5,-13.7,495.25,0,0,,Break G 1.5.158,XAUUSD+,sl 1920.64,-13200,915200,-0.13,5.21,IS,-0.5,-423.10999999999876,-3.8752156917339087,0.1
466,XAUUSD+,Buy,29.08.2023 06:06:20,1924.75,0.1,29.08.2023 09:46:40,1922.95,3h 40m,-18.5,476.75,-0.5,-18.5,476.75,0,0,,Break G 1.5.158,XAUUSD+,sl 1922.95,-18000,897200,-0.18,5.03,IS,-0.5,-441.60999999999876,-4.044655058085632,0.1
468,XAUUSD+,Buy,30.08.2023 12:27:40,1938.01,0.1,30.08.2023 15:15:40,1942.04,2h 48m,39.8,516.55,-0.5,39.8,516.55,0,0,,Break G 1.5.158,XAUUSD+,tp 1942.04,40300,937500,0.38,5.41,IS,-0.5,-401.8099999999995,-3.6801314483127423,0.1
470,XAUUSD+,Buy,30.08.2023 16:22:40,1945.22,0.1,30.08.2023 19:22:40,1943.51,3h 0m,-17.6,498.95,-0.5,-17.6,498.95,0,0,,Break G 1.5.158,XAUUSD+,sl 1943.51,-17100,920400,-0.17,5.25,IS,-0.5,-419.40999999999985,-3.841327818463574,0.1
472,XAUUSD+,Buy,31.08.2023 04:33:40,1947.44,0.1,31.08.2023 05:51:40,1945.67,1h 18m,-18.2,480.75,-0.5,-18.2,480.75,0,0,,Break G 1.5.158,XAUUSD+,sl 1945.67,-17700,902700,-0.17,5.07,IS,-0.5,-437.6100000000006,-4.008019519415005,0.1
474,XAUUSD+,Buy,31.08.2023 15:30:20,1947.44,0.1,31.08.2023 15:30:40,1945.81,20s,-16.8,463.95,-0.5,-16.8,463.95,0,0,,Break G 1.5.158,XAUUSD+,sl 1945.81,-16300,886400,-0.16,4.91,IS,-0.5,-454.40999999999985,-4.161888781831698,0.1
476,XAUUSD+,Buy,01.09.2023 16:34:40,1949.98,0.1,01.09.2023 16:38:40,1947.86,4m 0s,-21.7,442.25,-0.5,-21.7,442.25,0,0,,Break G 1.5.158,XAUUSD+,sl 1947.86,-21200,865200,-0.21,4.71,IS,-0.5,-476.1100000000006,-4.360636579119943,0.1
478,XAUUSD+,Buy,20.09.2023 17:00:40,1940.65,0.1,20.09.2023 18:17:20,1945.77,1h 16m,50.7,492.95,-0.5,50.7,492.95,0,0,,Break G 1.5.158,XAUUSD+,tp 1945.77,51200,916400,0.49,5.19,IS,-0.5,-425.40999999999985,-3.896281126469538,0.1
480,XAUUSD+,Buy,13.10.2023 13:00:40,1887.88,0.1,13.10.2023 14:35:40,1893.59,1h 35m,56.6,549.55,-0.5,56.6,549.55,0,0,,Break G 1.5.158,XAUUSD+,tp 1893.59,57100,973500,0.54,5.73,IS,-0.5,-368.8099999999995,-3.3778882542799393,0.1
482,XAUUSD+,Buy,18.10.2023 12:30:40,1941.95,0.1,18.10.2023 15:23:40,1949.41,2h 53m,74.1,623.65,-0.5,74.1,623.65,0,0,,Break G 1.5.158,XAUUSD+,tp 1949.41,74600,1048100,0.7,6.43,IS,-0.5,-294.7099999999991,-2.6992149004062775,0.1
484,XAUUSD+,Buy,19.10.2023 18:31:40,1957.07,0.1,19.10.2023 19:35:40,1953.11,1h 4m,-40.1,583.55,-0.5,-40.1,583.55,0,0,,Break G 1.5.158,XAUUSD+,sl 1953.11,-39600,1008500,-0.38,6.06,IS,-0.5,-334.8099999999995,-3.0664861755794752,0.1
486,XAUUSD+,Buy,19.10.2023 21:33:40,1972.75,0.1,20.10.2023 11:23:40,1984.57,13h 50m,108.49,692.04,-9.71,108.49,692.04,0,0,,Break G 1.5.158,XAUUSD+,tp 1984.57,118200,1126700,1.03,7.08,IS,-9.71,-226.3199999999997,-2.0728387779849675,0.1
488,XAUUSD+,Buy,20.10.2023 13:19:40,1984.08,0.1,20.10.2023 14:47:40,1980.1,1h 28m,-40.3,651.74,-0.5,-40.3,651.74,0,0,,Break G 1.5.158,XAUUSD+,sl 1980.10,-39800,1086900,-0.38,6.7,IS,-0.5,-266.619999999999,-2.4419418300916873,0.1
490,XAUUSD+,Buy,20.10.2023 18:00:20,1991,0.1,20.10.2023 19:04:40,1990.43,1h 4m,-6.2,645.54,-0.5,-6.2,645.54,0,0,,Break G 1.5.158,XAUUSD+,sl 1990.43,-5700,1081200,-0.06,6.65,IS,-0.5,-272.8199999999997,-2.4987269150311904,0.1
492,XAUUSD+,Buy,27.10.2023 22:05:40,2007.76,0.1,30.10.2023 01:05:40,2002.89,2d 3h 0m,-58.41,587.13,-9.71,-58.41,587.13,0,0,,Break G 1.5.158,XAUUSD+,sl 2002.89,-48700,1032500,-0.55,6.1,IS,-9.71,-331.22999999999956,-3.0336973684692508,0.1
494,XAUUSD+,Buy,21.11.2023 16:30:40,2001.47,0.1,21.11.2023 18:25:40,2000.22,1h 55m,-13,574.13,-0.5,-13,574.13,0,0,,Break G 1.5.158,XAUUSD+,sl 2000.22,-12500,1020000,-0.12,5.97,IS,-0.5,-344.22999999999956,-3.1527628691488396,0.1
496,XAUUSD+,Buy,22.11.2023 10:05:40,2005.39,0.1,22.11.2023 10:25:40,2002.76,20m 0s,-26.8,547.33,-0.5,-26.8,547.33,0,0,,Break G 1.5.158,XAUUSD+,sl 2002.76,-26300,993700,-0.25,5.72,IS,-0.5,-371.02999999999884,-3.39822097824214,0.1
498,XAUUSD+,Buy,28.11.2023 02:01:40,2016.93,0.1,28.11.2023 03:25:40,2014.24,1h 24m,-27.4,519.93,-0.5,-27.4,519.93,0,0,,Break G 1.5.158,XAUUSD+,sl 2014.24,-26900,966800,-0.26,5.46,IS,-0.5,-398.4299999999985,-3.64917441813604,0.1
500,XAUUSD+,Buy,28.11.2023 03:43:40,2017.11,0.1,28.11.2023 04:14:40,2014.34,31m 0s,-28.2,491.73,-0.5,-28.2,491.73,0,0,,Break G 1.5.158,XAUUSD+,sl 2014.34,-27700,939100,-0.27,5.19,IS,-0.5,-426.6299999999992,-3.9074549657640785,0.1
502,XAUUSD+,Buy,28.11.2023 04:32:40,2017.11,0.1,28.11.2023 06:04:40,2014.29,1h 32m,-28.7,463.03,-0.5,-28.7,463.03,0,0,,Break G 1.5.158,XAUUSD+,sl 2014.29,-28200,910900,-0.27,4.92,IS,-0.5,-455.3299999999999,-4.170314955725947,0.1
504,XAUUSD+,Buy,28.11.2023 15:37:40,2017.11,0.1,28.11.2023 16:00:40,2022.72,23m 0s,55.6,518.63,-0.5,55.6,518.63,0,0,,Break G 1.5.158,XAUUSD+,tp 2022.72,56100,967000,0.53,5.45,IS,-0.5,-399.72999999999956,-3.6610809682040086,0.1
506,XAUUSD+,Buy,28.11.2023 16:30:40,2027.47,0.1,28.11.2023 16:36:40,2024.63,6m 0s,-28.9,489.73,-0.5,-28.9,489.73,0,0,,Break G 1.5.158,XAUUSD+,sl 2024.63,-28400,938600,-0.27,5.18,IS,-0.5,-428.6299999999992,-3.9257727350994,0.1
508,XAUUSD+,Buy,01.12.2023 11:37:40,2049.58,0.1,01.12.2023 11:57:40,2046.88,20m 0s,-27.5,462.23,-0.5,-27.5,462.23,0,0,,Break G 1.5.158,XAUUSD+,sl 2046.88,-27000,911600,-0.26,4.91,IS,-0.5,-456.1299999999992,-4.177642063460069,0.1
510,XAUUSD+,Buy,01.12.2023 17:49:40,2049.58,0.1,01.12.2023 18:00:40,2045.72,11m 0s,-39.1,423.13,-0.5,-39.1,423.13,0,0,,Break G 1.5.158,XAUUSD+,sl 2045.72,-38600,873000,-0.37,4.54,IS,-0.5,-495.22999999999956,-4.535754453965605,0.1
512,XAUUSD+,Buy,21.12.2023 23:44:40,2045.87,0.1,22.12.2023 01:42:40,2053.67,1h 58m,68.29,491.42,-9.71,68.29,491.42,0,0,,Break G 1.5.158,XAUUSD+,tp 2053.67,78000,951000,0.66,5.2,IS,-9.71,-426.9399999999987,-3.9102942200110484,0.1
514,XAUUSD+,Buy,22.12.2023 11:10:40,2052.75,0.1,22.12.2023 13:24:40,2059.47,2h 14m,66.7,558.12,-0.5,66.7,558.12,0,0,,Break G 1.5.158,XAUUSD+,tp 2059.47,67200,1018200,0.64,5.83,IS,-0.5,-360.23999999999796,-3.299396612678073,0.1
516,XAUUSD+,Buy,22.12.2023 14:09:40,2062.08,0.1,22.12.2023 15:00:40,2058.93,51m 0s,-32,526.12,-0.5,-32,526.12,0,0,,Break G 1.5.158,XAUUSD+,sl 2058.93,-31500,986700,-0.3,5.53,IS,-0.5,-392.23999999999796,-3.5924809220432152,0.1
518,XAUUSD+,Buy,22.12.2023 15:46:00,2063.71,0.1,22.12.2023 17:40:40,2062.54,1h 54m,-12.2,513.92,-0.5,-12.2,513.92,0,0,,Break G 1.5.158,XAUUSD+,sl 2062.54,-11700,975000,-0.12,5.41,IS,-0.5,-404.4399999999987,-3.7042193149886824,0.1
